timestamp,git_commit,group,bench,parameter,samples,min_ns,mean_ns,stddev_ns,median_ns,hostname,cpu,os,rustc
2025-11-11T01:32:19.636405+00:00,585a129d1d83dc5487dd0720c76c95ad31d83631,geom4_volume,geom4_volume,12,50,530701.5,542734.575320496,12750.540404999352,537971.4833333334,ab5b4864ef14,x86_64,Linux 6.8.0-87-generic,rustc 1.91.1 (ed61e7d7e 2025-11-07)
2025-11-11T01:32:19.636405+00:00,585a129d1d83dc5487dd0720c76c95ad31d83631,geom4_volume,geom4_volume,24,50,1233610.0909090908,1286469.4272727272,50051.290833604406,1267447.6363636362,ab5b4864ef14,x86_64,Linux 6.8.0-87-generic,rustc 1.91.1 (ed61e7d7e 2025-11-07)
2025-11-11T01:32:19.636405+00:00,585a129d1d83dc5487dd0720c76c95ad31d83631,geom4_volume,geom4_volume,48,50,4717999.0,4880181.22,277292.83728490316,4822988.75,ab5b4864ef14,x86_64,Linux 6.8.0-87-generic,rustc 1.91.1 (ed61e7d7e 2025-11-07)
2025-11-11T01:32:19.636405+00:00,585a129d1d83dc5487dd0720c76c95ad31d83631,geom4_volume,geom4_volume,72,50,13970663.0,14412271.98,380706.39691470267,14308718.5,ab5b4864ef14,x86_64,Linux 6.8.0-87-generic,rustc 1.91.1 (ed61e7d7e 2025-11-07)
